remark,CSV-Import-Export,,,,,
COMMENT,,IV3:I,Processing time MIN,,IV3:I.DATA[13],
COMMENT,,IV3:I,Processing time AVE,,IV3:I.DATA[14],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[15],
COMMENT,,IV3:I,Number of triggers,,IV3:I.DATA[16],
COMMENT,,IV3:I,Number of triggers,,IV3:I.DATA[17],
COMMENT,,IV3:I,OK count (standard mode) Total sort count (sorting mode),,IV3:I.DATA[18],
COMMENT,,IV3:I,OK count (standard mode) Total sort count (sorting mode),,IV3:I.DATA[19],
COMMENT,,IV3:I,Number of NGs (standard mode/sorting mode),,IV3:I.DATA[20],
COMMENT,,IV3:I,Number of NGs (standard mode/sorting mode),,IV3:I.DATA[21],
COMMENT,,IV3:I,Number of trigger errors,,IV3:I.DATA[22],
COMMENT,,IV3:I,Number of trigger errors,,IV3:I.DATA[23],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[24],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[25],
COMMENT,,IV3:I,Position adjustment tool matching rate,,IV3:I.DATA[26],
COMMENT,,IV3:I,Position adjustment tool matching rate MAX,,IV3:I.DATA[27],
COMMENT,,IV3:I,Position adjustment tool matching rate MIN,,IV3:I.DATA[28],
COMMENT,,IV3:I,Position adjustment tool threshold,,IV3:I.DATA[29],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[30],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[31],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[32],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[33],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[34],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[35],
COMMENT,,IV3:I,Tool 1 matching rate,,IV3:I.DATA[36],
COMMENT,,IV3:I,Tool 1 matching rate MAX,,IV3:I.DATA[37],
COMMENT,,IV3:I,Tool 1 matching rate MIN,,IV3:I.DATA[38],
COMMENT,,IV3:I,Tool 1 lower threshold,,IV3:I.DATA[39],
COMMENT,,IV3:I,Tool 1 upper threshold,,IV3:I.DATA[40],
COMMENT,,IV3:I,Tool 1 decimal point position,,IV3:I.DATA[41],
COMMENT,,IV3:I,"Tool 1 pitch present value MAX, color average H (hue)",,IV3:I.DATA[42],
COMMENT,,IV3:I,"Tool 1 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[43],
COMMENT,,IV3:I,"Tool 1 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[44],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[45],
COMMENT,,IV3:I,Tool 2 matching rate,,IV3:I.DATA[46],
COMMENT,,IV3:I,Tool 2 matching rate MAX,,IV3:I.DATA[47],
COMMENT,,IV3:I,Tool 2 matching rate MIN,,IV3:I.DATA[48],
COMMENT,,IV3:I,Tool 2 lower threshold,,IV3:I.DATA[49],
COMMENT,,IV3:I,Tool 2 upper threshold,,IV3:I.DATA[50],
COMMENT,,IV3:I,Tool 2 decimal point position,,IV3:I.DATA[51],
COMMENT,,IV3:I,"Tool 2 pitch present value MAX, color average H (hue)",,IV3:I.DATA[52],
COMMENT,,IV3:I,"Tool 2 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[53],
COMMENT,,IV3:I,"Tool 2 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[54],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[55],
COMMENT,,IV3:I,Tool 3 matching rate,,IV3:I.DATA[56],
COMMENT,,IV3:I,Tool 3 matching rate MAX,,IV3:I.DATA[57],
COMMENT,,IV3:I,Tool 3 matching rate MIN,,IV3:I.DATA[58],
COMMENT,,IV3:I,Tool 3 lower threshold,,IV3:I.DATA[59],
COMMENT,,IV3:I,Tool 3 upper threshold,,IV3:I.DATA[60],
COMMENT,,IV3:I,Tool 3 decimal point position,,IV3:I.DATA[61],
COMMENT,,IV3:I,"Tool 3 pitch present value MAX, color average H (hue)",,IV3:I.DATA[62],
COMMENT,,IV3:I,"Tool 3 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[63],
COMMENT,,IV3:I,"Tool 3 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[64],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[65],
COMMENT,,IV3:I,Tool 4 matching rate,,IV3:I.DATA[66],
COMMENT,,IV3:I,Tool 4 matching rate MAX,,IV3:I.DATA[67],
COMMENT,,IV3:I,Tool 4 matching rate MIN,,IV3:I.DATA[68],
COMMENT,,IV3:I,Tool 4 lower threshold,,IV3:I.DATA[69],
COMMENT,,IV3:I,Tool 4 upper threshold,,IV3:I.DATA[70],
COMMENT,,IV3:I,Tool 4 decimal point position,,IV3:I.DATA[71],
COMMENT,,IV3:I,"Tool 4 pitch present value MAX, color average H (hue)",,IV3:I.DATA[72],
COMMENT,,IV3:I,"Tool 4 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[73],
COMMENT,,IV3:I,"Tool 4 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[74],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[75],
COMMENT,,IV3:I,Tool 5 matching rate,,IV3:I.DATA[76],
COMMENT,,IV3:I,Tool 5 matching rate MAX,,IV3:I.DATA[77],
COMMENT,,IV3:I,Tool 5 matching rate MIN,,IV3:I.DATA[78],
COMMENT,,IV3:I,Tool 5 lower threshold,,IV3:I.DATA[79],
COMMENT,,IV3:I,Tool 5 upper threshold,,IV3:I.DATA[80],
COMMENT,,IV3:I,Tool 5 decimal point position,,IV3:I.DATA[81],
COMMENT,,IV3:I,"Tool 5 pitch present value MAX, color average H (hue)",,IV3:I.DATA[82],
COMMENT,,IV3:I,"Tool 5 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[83],
COMMENT,,IV3:I,"Tool 5 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[84],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[85],
COMMENT,,IV3:I,Tool 6 matching rate,,IV3:I.DATA[86],
COMMENT,,IV3:I,Tool 6 matching rate MAX,,IV3:I.DATA[87],
COMMENT,,IV3:I,Tool 6 matching rate MIN,,IV3:I.DATA[88],
COMMENT,,IV3:I,Tool 6 lower threshold,,IV3:I.DATA[89],
COMMENT,,IV3:I,Tool 6 upper threshold,,IV3:I.DATA[90],
COMMENT,,IV3:I,Tool 6 decimal point position,,IV3:I.DATA[91],
COMMENT,,IV3:I,"Tool 6 pitch present value MAX, color average H (hue)",,IV3:I.DATA[92],
COMMENT,,IV3:I,"Tool 6 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[93],
COMMENT,,IV3:I,"Tool 6 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[94],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[95],
COMMENT,,IV3:I,Tool 7 matching rate,,IV3:I.DATA[96],
COMMENT,,IV3:I,Tool 7 matching rate MAX,,IV3:I.DATA[97],
COMMENT,,IV3:I,Tool 7 matching rate MIN,,IV3:I.DATA[98],
COMMENT,,IV3:I,Tool 7 lower threshold,,IV3:I.DATA[99],
COMMENT,,IV3:I,Tool 7 upper threshold,,IV3:I.DATA[100],
COMMENT,,IV3:I,Tool 7 decimal point position,,IV3:I.DATA[101],
COMMENT,,IV3:I,"Tool 7 pitch present value MAX, color average H (hue)",,IV3:I.DATA[102],
COMMENT,,IV3:I,"Tool 7 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[103],
COMMENT,,IV3:I,"Tool 7 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[104],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[105],
COMMENT,,IV3:I,Tool 8 matching rate,,IV3:I.DATA[106],
COMMENT,,IV3:I,Tool 8 matching rate MAX,,IV3:I.DATA[107],
COMMENT,,IV3:I,Tool 8 matching rate MIN,,IV3:I.DATA[108],
COMMENT,,IV3:I,Tool 8 lower threshold,,IV3:I.DATA[109],
COMMENT,,IV3:I,Tool 8 upper threshold,,IV3:I.DATA[110],
COMMENT,,IV3:I,Tool 8 decimal point position,,IV3:I.DATA[111],
COMMENT,,IV3:I,"Tool 8 pitch present value MAX, color average H (hue)",,IV3:I.DATA[112],
COMMENT,,IV3:I,"Tool 8 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[113],
COMMENT,,IV3:I,"Tool 8 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[114],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[115],
COMMENT,,IV3:I,Tool 9 matching rate,,IV3:I.DATA[116],
COMMENT,,IV3:I,Tool 9 matching rate MAX,,IV3:I.DATA[117],
COMMENT,,IV3:I,Tool 9 matching rate MIN,,IV3:I.DATA[118],
COMMENT,,IV3:I,Tool 9 lower threshold,,IV3:I.DATA[119],
COMMENT,,IV3:I,Tool 9 upper threshold,,IV3:I.DATA[120],
COMMENT,,IV3:I,Tool 9 decimal point position,,IV3:I.DATA[121],
COMMENT,,IV3:I,"Tool 9 pitch present value MAX, color average H (hue)",,IV3:I.DATA[122],
COMMENT,,IV3:I,"Tool 9 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[123],
COMMENT,,IV3:I,"Tool 9 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[124],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[125],
COMMENT,,IV3:I,Tool 10 matching rate,,IV3:I.DATA[126],
COMMENT,,IV3:I,Tool 10 matching rate MAX,,IV3:I.DATA[127],
COMMENT,,IV3:I,Tool 10 matching rate MIN,,IV3:I.DATA[128],
COMMENT,,IV3:I,Tool 10 lower threshold,,IV3:I.DATA[129],
COMMENT,,IV3:I,Tool 10 upper threshold,,IV3:I.DATA[130],
COMMENT,,IV3:I,Tool 10 decimal point position,,IV3:I.DATA[131],
COMMENT,,IV3:I,"Tool 10 pitch present value MAX, color average H (hue)",,IV3:I.DATA[132],
COMMENT,,IV3:I,"Tool 10 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[133],
COMMENT,,IV3:I,"Tool 10 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[134],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[135],
COMMENT,,IV3:I,Tool 11 matching rate,,IV3:I.DATA[136],
COMMENT,,IV3:I,Tool 11 matching rate MAX,,IV3:I.DATA[137],
COMMENT,,IV3:I,Tool 11 matching rate MIN,,IV3:I.DATA[138],
COMMENT,,IV3:I,Tool 11 lower threshold,,IV3:I.DATA[139],
COMMENT,,IV3:I,Tool 11 upper threshold,,IV3:I.DATA[140],
COMMENT,,IV3:I,Tool 11 decimal point position,,IV3:I.DATA[141],
COMMENT,,IV3:I,"Tool 11 pitch present value MAX, color average H (hue)",,IV3:I.DATA[142],
COMMENT,,IV3:I,"Tool 11 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[143],
COMMENT,,IV3:I,"Tool 11 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[144],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[145],
COMMENT,,IV3:I,Tool 12 matching rate,,IV3:I.DATA[146],
COMMENT,,IV3:I,Tool 12 matching rate MAX,,IV3:I.DATA[147],
COMMENT,,IV3:I,Tool 12 matching rate MIN,,IV3:I.DATA[148],
COMMENT,,IV3:I,Tool 12 lower threshold,,IV3:I.DATA[149],
COMMENT,,IV3:I,Tool 12 upper threshold,,IV3:I.DATA[150],
COMMENT,,IV3:I,Tool 12 decimal point position,,IV3:I.DATA[151],
COMMENT,,IV3:I,"Tool 12 pitch present value MAX, color average H (hue)",,IV3:I.DATA[152],
COMMENT,,IV3:I,"Tool 12 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[153],
COMMENT,,IV3:I,"Tool 12 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[154],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[155],
COMMENT,,IV3:I,Tool 13 matching rate,,IV3:I.DATA[156],
COMMENT,,IV3:I,Tool 13 matching rate MAX,,IV3:I.DATA[157],
COMMENT,,IV3:I,Tool 13 matching rate MIN,,IV3:I.DATA[158],
COMMENT,,IV3:I,Tool 13 lower threshold,,IV3:I.DATA[159],
COMMENT,,IV3:I,Tool 13 upper threshold,,IV3:I.DATA[160],
COMMENT,,IV3:I,Tool 13 decimal point position,,IV3:I.DATA[161],
COMMENT,,IV3:I,"Tool 13 pitch present value MAX, color average H (hue)",,IV3:I.DATA[162],
COMMENT,,IV3:I,"Tool 13 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[163],
COMMENT,,IV3:I,"Tool 13 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[164],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[165],
COMMENT,,IV3:I,Tool 14 matching rate,,IV3:I.DATA[166],
COMMENT,,IV3:I,Tool 14 matching rate MAX,,IV3:I.DATA[167],
COMMENT,,IV3:I,Tool 14 matching rate MIN,,IV3:I.DATA[168],
COMMENT,,IV3:I,Tool 14 lower threshold,,IV3:I.DATA[169],
COMMENT,,IV3:I,Tool 14 upper threshold,,IV3:I.DATA[170],
COMMENT,,IV3:I,Tool 14 decimal point position,,IV3:I.DATA[171],
COMMENT,,IV3:I,"Tool 14 pitch present value MAX, color average H (hue)",,IV3:I.DATA[172],
COMMENT,,IV3:I,"Tool 14 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[173],
COMMENT,,IV3:I,"Tool 14 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[174],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[175],
COMMENT,,IV3:I,Tool 15 matching rate,,IV3:I.DATA[176],
COMMENT,,IV3:I,Tool 15 matching rate MAX,,IV3:I.DATA[177],
COMMENT,,IV3:I,Tool 15 matching rate MIN,,IV3:I.DATA[178],
COMMENT,,IV3:I,Tool 15 lower threshold,,IV3:I.DATA[179],
COMMENT,,IV3:I,Tool 15 upper threshold,,IV3:I.DATA[180],
